HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,common_name,female_maturity_days,male_maturity_days,gestation_days,weaning_days,litter_size,litters_per_year,interbirth_interval,birth_weight_g,weaning_weight_g,adult_weight_g,growth_rate,max_longevity_yrs,source,specimen_origin,sample_size,data_quality,imr,mrdt,metabolic_rate_w,body_mass_g,temperature_k,references,log10_longevity,log10_adult_weight
2184,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,foina,Beech marten,548.0,730.0,30.0,66.0,3.5,1.0,365.0,30.0,,1700.0,,18.2,671,captivity,small,acceptable,,,,,,"434,455,671,978",1.2600713879850747,3.230448921378274
2185,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,martes,European pine marten,456.0,426.0,28.0,59.0,4.0,1.0,365.0,30.0,680.0,1300.0,,18.2,671,captivity,small,acceptable,,,4.0,920.0,310.15,"36,420,434,455,610,671,680",1.2600713879850747,3.113943352306837
2186,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,melampus,Japanese marten,,,,,,,,,,1000.0,,,,unknown,tiny,low,,,,,,"671,730",,3.0
2187,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,pennanti,Fisher,365.0,365.0,45.0,66.0,2.5,1.0,365.0,35.0,,3175.0,,14.3,671,captivity,small,acceptable,,,,,311.65,"441,448,455,542,671,1069",1.1553360374650619,3.5017437296279943
2188,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,zibellina,Sable,456.0,456.0,30.0,56.0,3.0,,,30.0,600.0,1066.7,,18.4,671,captivity,small,acceptable,,,,,,"434,455,671,680",1.2648178230095364,3.0280422950907497
2189,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,meles,"European badger, or Old World badger",365.0,365.0,49.0,90.0,3.0,1.0,365.0,80.0,,13000.0,0.0196,18.6,671,captivity,medium,acceptable,,,16.647,11050.0,310.15,"36,420,434,455,554,610,671,680,731,1143",1.2695129442179163,4.113943352306837
2190,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mellivora,capensis,Honey badger,,,180.0,,2.0,2.0,182.0,210.0,,10000.0,,31.3,671,captivity,medium,acceptable,,,,,,"434,455,671,978",1.4955443375464486,4.0
2191,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Melogale,moschata,Chinese ferret-badger,,,,,2.5,,,,,672.0,,19.0,671,captivity,tiny,acceptable,,,,,,"455,671,730",1.2787536009528289,2.8273692730538253
2192,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Melogale,personata,Burmese ferret-badger,,,,,3.0,,,,,2000.0,,,,unknown,small,low,,,,,,"455,610,671",,3.3010299956639813
2193,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,Ermine,95.0,365.0,43.0,45.0,6.77,1.0,365.0,2.3,26.6,110.3,,12.5,671,captivity,small,acceptable,,,1.276,125.5,312.75,"36,420,434,455,538,610,671,680,817",1.0969100130080565,2.0425755124401905
2194,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,eversmanii,Steppe polecat,319.0,319.0,36.0,51.0,9.4,1.0,365.0,5.73,,1350.0,,9.1,671,captivity,small,acceptable,,,,,,"434,455,671,817",0.9590413923210935,3.130333768495006
2195,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,frenata,Long-tailed weasel,162.0,365.0,25.0,37.0,6.2,1.0,365.0,3.1,34.6,150.6,,8.8,671,captivity,tiny,acceptable,,,1.344,225.0,312.15,"36,420,434,455,538,610,671,680,817",0.9444826721501687,2.177824971864682
2196,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,lutreola,European mink,323.0,323.0,54.0,57.0,4.0,,365.0,8.0,,590.0,,8.4,671,captivity,medium,acceptable,,,,,,"134,434,455,542,671",0.9242792860618817,2.7708520116421442
2197,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,nigripes,Black-footed ferret,365.0,365.0,43.0,,3.0,,365.0,7.4,,1021.0,,9.4,671,captivity,medium,acceptable,,,,,,"434,441,455,542,671,978",0.9731278535996987,3.0090257420869104
2198,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,nivalis,Least weasel,120.0,120.0,36.0,39.0,5.0,1.5,200.0,2.6,43.5,46.9,0.0546,9.1,671,captivity,small,acceptable,,,,,,"434,455,671,730,731",0.9590413923210935,1.6711728427150832
2199,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,putorius,European polecat,312.0,322.0,42.0,63.0,7.5,1.5,140.0,9.5,,809.0,0.0328,11.1,671,captivity,large,acceptable,,,,,,"1,197,198,434,455,671,731,1136",1.0453229787866574,2.9079485216122722
2200,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,sibirica,Siberian weasel,,,29.0,60.0,6.0,,,,,565.0,,8.8,671,captivity,medium,acceptable,,,,,,"434,455,671",0.9444826721501687,2.7520484478194387
2201,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,vison,American mink,334.0,371.0,42.0,49.0,4.5,1.0,365.0,8.5,110.0,925.0,0.0266,11.4,671,captivity,small,acceptable,,,2.722,660.0,312.15,"36,343,344,420,434,441,455,542,610,671,680,731",1.0569048513364727,2.9661417327390325
2202,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Poecilogale,albinucha,African striped weasel,439.0,,32.0,65.0,2.2,1.2,240.0,4.0,50.0,280.0,0.0255,,,unknown,small,low,,,,,,"434,455,610,671,680,731,817",,2.4471580313422194
2203,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pteronura,brasiliensis,Giant otter,730.0,,68.0,122.0,1.5,1.0,365.0,204.25,,24000.0,,17.3,671,captivity,small,acceptable,,,,,,"434,455,671,978",1.2380461031287955,4.380211241711606
2204,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Taxidea,taxus,American badger,183.0,441.0,41.0,56.0,3.0,0.7,365.0,93.5,3000.0,8000.0,,25.0,671,captivity,small,acceptable,,,15.062,9000.0,311.15,"36,420,434,441,455,610,671,676,680,817",1.3979400086720377,3.9030899869919438
2205,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Vormela,peregusna,Marbled polecat,91.0,,61.0,30.0,5.76,,365.0,,,542.5,,8.8,671,captivity,small,acceptable,,,,,,"434,455,671,978",0.9444826721501687,2.734399742520567
2206,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,binotata,African palm civet,1095.0,1095.0,64.0,64.0,2.0,2.0,182.0,55.0,,1900.0,,21.0,671,captivity,tiny,acceptable,,,5.565,4270.0,310.55,"36,420,434,455,671,680,817",1.3222192947339193,3.278753600952829
2207,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,Walrus,1745.0,2635.0,331.0,730.0,1.0,0.5,834.0,60000.0,200000.0,1012500.0,0.0009,,,unknown,tiny,low,,,,,,"434,441,443,455,538,542,555,573,610,671,680,731",,6.005395031886706
2208,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,australis,South American fur seal,1095.0,2556.0,236.0,411.0,1.0,1.0,365.0,4250.0,,110000.0,,30.6,671,captivity,small,acceptable,,,,,,"434,443,455,542,611,671,978,1143",1.4857214264815801,5.041392685158225
2209,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,forsteri,New Zealand fur seal,1825.0,1825.0,236.0,335.0,1.0,1.0,365.0,3833.33,,55000.0,,,,unknown,tiny,low,,,,,,"434,455,671,978",,4.740362689494244
2210,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,galapagoensis,Galapagos fur seal,1461.0,2553.0,213.0,776.0,1.0,1.0,365.0,3500.0,15000.0,45500.0,,,,unknown,small,low,,,,,,"1,443,455,1308",,4.658011396657113
2211,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,gazella,Antarctic fur seal,1278.0,1278.0,257.0,122.0,1.0,1.0,365.0,6000.0,15800.0,84500.0,0.0014,,,unknown,small,low,,,,,,"443,455,573,731,1143",,4.926856708949693
2212,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,pusillus,South African fur seal,1276.0,1643.0,368.0,354.0,1.0,1.0,365.0,6200.0,26150.0,127551.0,,32.1,671,captivity,medium,acceptable,,,,,,"455,671",1.506505032404872,5.105683867828439
2213,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,tropicalis,Subantarctic fur seal,1539.0,,357.0,239.0,1.0,1.0,365.0,4420.0,,50000.0,,,,unknown,tiny,low,,,,,,"434,455,610,671,978,1143,1308",,4.698970004336019
2214,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Callorhinus,ursinus,Northern fur seal,1095.0,2007.0,240.0,107.0,1.3,0.9,365.0,5281.0,12925.0,165500.0,0.0007,,,unknown,small,low,,,,,,"1,434,441,443,455,610,671,676,680,731,817,1143",,5.218797998111738
2215,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias,jubatus,Steller sea lion,1780.0,2420.0,274.0,279.0,1.0,1.0,365.0,19000.0,106610.0,415000.0,,32.8,671,captivity,small,acceptable,,,,,,"1,434,441,443,455,538,610,671,680",1.515873843711679,5.6180480967120925
2216,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Neophoca,cinerea,Australian sea lion,1095.0,2191.0,258.0,570.0,1.0,0.69,540.0,7075.0,59724.0,190000.0,,24.1,671,captivity,small,acceptable,,,,,,"434,443,455,621,671,978",1.3820170425748683,5.278753600952829
2217,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Otaria,flavescens,Southern sea lion,1461.0,2191.0,357.0,365.0,1.0,1.0,365.0,12500.0,,207500.0,,29.0,671,captivity,small,acceptable,,,,,,"443,455,671",1.462397997898956,5.317018101048111
2218,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Phocarctos,hookeri,New Zealand sea lion,2030.0,2191.0,365.0,213.0,1.0,1.0,365.0,7000.0,,187580.0,,,,unknown,small,low,,,,,,"434,455,978,1143,1308",,5.273186531523475
2219,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,californianus,California sea lion,1095.0,1826.0,259.0,315.0,1.2,0.5,730.0,7000.0,25000.0,180000.0,,35.7,671,captivity,large,high,,,,,311.25,"441,443,455,542,671,1021,1136,1143",1.5526682161121932,5.2552725051033065
2220,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Cystophora,cristata,Hooded seal,1095.0,1826.0,240.0,7.0,1.0,1.0,365.0,18000.0,43300.0,405000.0,,,,unknown,tiny,low,,,,,,"434,441,443,455,538,573,610,680,978",,5.607455023214668
2221,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Erignathus,barbatus,Bearded seal,1712.0,2223.0,259.0,28.0,1.0,1.0,608.0,35000.0,75750.0,373000.0,,,,unknown,small,low,,,,,,"434,441,443,455,573,610,680",,5.571708831808688
2222,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,grypus,Gray seal,1460.0,1887.0,240.0,19.0,1.0,0.9,365.0,14000.0,41450.0,268000.0,,42.9,671,captivity,medium,acceptable,,,,,,"434,441,443,455,538,573,610,671,676,680,817,1143",1.6324572921847242,5.4281347940287885
2223,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Histriophoca,fasciata,Ribbon seal,1050.0,1324.0,274.0,25.0,1.0,1.0,365.0,10500.0,30000.0,90000.0,,,,unknown,small,low,,,118.59,54000.0,,"36,434,441,443,455,538,573",,4.954242509439325
2224,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Hydrurga,leptonyx,Leopard seal,1095.0,1461.0,274.0,30.0,1.0,,365.0,30000.0,,367750.0,,,,unknown,tiny,low,,,,,,"443,455,542,671,978",,5.565552681399568
2225,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes,weddellii,Weddell seal,1365.0,1642.0,304.0,40.0,1.0,,548.0,29000.0,115900.0,425000.0,,,,unknown,small,low,,,,,,"443,455,542,573,905,1143",,5.628388930050312
2226,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Lobodon,carcinophaga,Crabeater seal,1461.0,1643.0,259.0,28.0,1.0,0.5,730.0,23000.0,120000.0,250000.0,,,,unknown,small,low,,,,,,"434,443,455,610,680",,5.3979400086720375
2227,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,Northern elephant seal,1095.0,1826.0,252.0,26.0,1.0,1.0,365.0,37500.0,140315.0,1600000.0,,,,unknown,tiny,low,,,,,,"434,441,443,455,538,671,1143",,6.204119982655925
2228,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,leonina,Southern elephant seal,1059.0,1825.0,220.0,21.0,1.0,1.0,365.0,42500.0,124500.0,1400000.0,0.0008,,,unknown,small,low,,,,,,"1,443,455,671,731",,6.146128035678238
2229,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Monachus,monachus,Mediterranean monk seal,1461.0,1461.0,289.0,42.0,1.0,0.5,730.0,19000.0,,275000.0,,,,unknown,small,low,,,,,,"443,455,671",,5.439332693830263
2230,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Monachus,schauinslandi,Hawaiian monk seal,1825.0,,335.0,35.0,1.0,0.5,465.0,17000.0,64000.0,222500.0,,,,unknown,small,low,,,,,,"434,443,455,573,610,671,1143",,5.347330015316951
2231,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Ommatophoca,rossii,Ross seal,1095.0,1278.0,228.0,30.0,1.0,1.0,365.0,20000.0,,177000.0,,,,unknown,small,low,,,,,,"434,443,455,573,680,978",,5.247973266361806
2232,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus,groenlandicus,Harp seal,1637.0,1826.0,228.0,12.0,1.25,,365.0,8700.0,34580.0,180000.0,0.0012,,,unknown,tiny,low,,,,,309.45,"441,443,455,542,671,731,1032",,5.2552725051033065
2233,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,largha,Spotted seal,1279.0,1643.0,319.0,24.0,1.0,,365.0,7100.0,21300.0,85000.0,,,,unknown,tiny,low,,,,,,"434,443,455,538,542,671,978",,4.929418925714293
2234,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,vitulina,Harbor seal,1095.0,1460.0,253.0,30.0,1.0,1.0,365.0,11000.0,23945.0,115000.0,0.0013,47.6,671,captivity,medium,acceptable,,,73.29,27400.0,309.85,"36,441,443,455,542,671,731,1032",1.677606952720493,5.060697840353612
2235,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,caspica,Caspian seal,2009.0,2191.0,330.0,30.0,1.0,,365.0,5000.0,,86000.0,,,,unknown,small,low,,,,,,"434,443,455,542,573,978",,4.9344984512435675
2236,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,hispida,Ringed seal,1826.0,2191.0,251.0,53.0,1.0,1.0,365.0,6000.0,14000.0,90000.0,,46.0,671,captivity,tiny,acceptable,,,,,,"441,443,455,542,671",1.662757831681574,4.954242509439325
2237,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,sibirica,Baikal seal,2129.0,2557.0,273.0,68.0,1.02,1.0,365.0,3000.0,66900.0,90000.0,,56.0,671,captivity,small,acceptable,,,,,,"434,443,455,610,671,672,680,817",1.7481880270062005,4.954242509439325
2238,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,alleni,Allen's olingo,650.0,594.0,75.0,,,,,,,1235.0,,25.2,671,captivity,small,acceptable,,,,,,"434,671,1308",1.4014005407815442,3.0916669575956846
2239,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassaricyon,gabbii,Olingo,685.0,594.0,73.0,,1.0,,,55.0,,1235.0,,21.8,671,captivity,tiny,acceptable,,,,,,"434,455,671",1.3384564936046048,3.0916669575956846
2240,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,astutus,Ringtail,300.0,300.0,52.0,42.0,3.0,1.0,365.0,30.0,258.7,1015.0,0.0215,19.0,671,captivity,medium,acceptable,,,,,310.75,"434,441,455,557,671,731",1.2787536009528289,3.0064660422492318
2241,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,sumichrasti,Cacomistle,300.0,300.0,64.0,,2.0,,,25.0,,900.0,,24.0,671,captivity,small,acceptable,,,3.537,1280.0,311.95,"36,420,434,455,671",1.380211241711606,2.9542425094393248
2242,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,narica,White-nosed coati,712.0,712.0,78.0,127.0,4.17,,365.0,140.0,,3750.0,,26.4,671,captivity,medium,acceptable,,,6.733,3670.0,311.75,"36,420,434,538,610,620,671,978",1.421603926869831,3.574031267727719
2243,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,nasua,South american coati,730.0,730.0,73.0,86.0,4.0,,365.0,140.0,730.0,4750.0,,23.7,671,captivity,large,high,,,5.591,3924.3,309.55,"36,420,434,455,610,671,680,978",1.3747483460101038,3.6766936096248664
2244,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Potos,flavus,Kinkajou,820.0,550.0,115.0,119.0,1.0,1.0,365.0,175.0,,3000.0,0.0102,38.4,671,captivity,medium,acceptable,,,4.294,2318.0,309.25,"36,420,434,455,610,671,680,731",1.5843312243675307,3.4771212547196626
2245,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,Crab-eating raccoon,365.0,365.0,63.0,,3.0,,,71.0,,6270.0,,19.0,671,captivity,small,acceptable,,,2.588,1160.0,310.15,"36,420,434,455,610,671",1.2787536009528289,3.7972675408307164
2246,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,lotor,Common raccoon,365.0,365.0,63.0,91.0,4.0,1.0,365.0,80.0,1175.0,6000.0,0.0153,21.0,671,captivity,large,acceptable,,,10.428,4842.2,311.15,"36,420,434,441,455,671,731",1.3222192947339193,3.7781512503836434
2247,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,melanoleuca,Giant panda,2192.0,2192.0,48.0,,1.5,0.7,548.0,110.0,,117500.0,0.0028,36.8,671,captivity,small,acceptable,,,,,,"77,434,455,610,671,676,680,731,1142,1377",1.5658478186735176,5.0700378666077555
2248,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,malayanus,Sun bear,2372.0,,95.0,90.0,1.0,,,325.0,,46000.0,,35.9,671,captivity,medium,acceptable,,,,,311.25,"434,448,455,610,671,1008",1.5550944485783191,4.662757831681574
2249,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Melursus,ursinus,Sloth bear,1095.0,1095.0,198.0,76.0,1.5,,1095.0,400.0,,100000.0,,33.3,671,captivity,medium,acceptable,,,47.064,66957.0,,"36,434,448,455,671,1142",1.5224442335063197,5.0
2250,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Tremarctos,ornatus,Spectacled bear,1461.0,1461.0,228.0,90.0,1.5,,,320.0,,109250.0,,39.0,671,captivity,medium,acceptable,,,,,,"434,455,671,1142,1308",1.591064607026499,5.038421445642459
2251,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,americanus,American black bear,1278.0,1278.0,70.0,198.0,2.0,0.4,730.0,277.5,14050.0,154250.0,0.0029,34.0,671,captivity,large,acceptable,,,,,,"79,434,455,558,559,610,671,676,680,731,955",1.5314789170422551,5.1882251727052795
2252,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,arctos,Brown bear,1313.0,1313.0,103.0,213.0,2.0,0.4,852.0,510.0,26000.0,277500.0,,40.0,671,captivity,large,acceptable,,,,,310.45,"434,455,610,671,680,955,997,1143",1.6020599913279623,5.443262987458695
2253,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,maritimus,Polar bear,1734.0,1734.0,65.0,303.0,2.0,0.4,750.0,665.0,27000.0,475000.0,0.0022,43.8,671,captivity,medium,acceptable,,,,,309.95,"75,76,77,78,79,434,455,610,671,680,731,955,978,1054,1136,1143",1.6414741105040995,5.676693609624866
2254,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,thibetanus,Asiatic black bear,1095.0,1095.0,228.0,99.0,2.0,,365.0,463.0,,103750.0,,39.2,671,captivity,medium,acceptable,,,,,310.65,"434,455,671,955,1023",1.5932860670204574,5.01598810538413
2255,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctictis,binturong,Binturong,925.0,840.0,92.0,79.0,2.0,2.0,348.0,318.0,2100.0,12250.0,,27.0,671,captivity,medium,acceptable,,,12.747,14280.0,309.85,"36,420,434,455,610,671,680",1.4313637641589874,4.088136088700551
2256,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctogalidia,trivirgata,Small-toothed palm civet,1095.0,,45.0,61.0,2.5,2.0,182.0,,,2250.0,,16.1,671,captivity,small,acceptable,,,3.085,2010.0,309.35,"36,420,434,455,671,978",1.2068258760318498,3.3521825181113627
2257,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Chrotogale,owstoni,Owston's palm civet,,,61.0,,2.0,1.5,,81.5,,3250.0,,,,unknown,tiny,low,,,,,,"434,671",,3.5118833609788744
2258,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,civetta,African civet,365.0,213.0,65.0,120.0,2.5,2.2,221.0,380.5,1514.0,13666.7,,28.0,671,captivity,small,acceptable,,,,,,"434,455,610,671,680",1.4471580313422192,4.1356636612536155
2259,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Cynogale,bennettii,Otter civet,,,,,2.0,,,,,4000.0,,,,unknown,small,low,,,,,,"434,455,671",,3.6020599913279625
2260,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,abyssinica,Abyssinian genet,,,,,,,,,,1650.0,,,,unknown,small,low,,,,,,"671,730",,3.2174839442139063
2261,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,genetta,Small-spotted genet,1479.0,,78.0,62.0,2.0,2.0,182.0,77.75,,1866.7,0.0059,22.7,671,captivity,medium,acceptable,,,,,,"434,455,573,610,671,680,731,817",1.3560258571931227,3.2710745274759008
2262,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,maculata,Panther genet,,,,,2.3,,,,,2225.0,,20.0,671,captivity,tiny,acceptable,,,,,,"455,610,671",1.3010299956639813,3.3473300153169503
2263,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,pardina,Pardine genet,1461.0,,71.0,,2.5,,,71.5,,2000.0,,,,unknown,small,low,,,,,,"455,520,1308",,3.3010299956639813
2264,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,servalina,Servaline genet,,,,,1.5,,,,,1055.0,,,,unknown,small,low,,,,,,"455,671,730",,3.0232524596337114
2265,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Genetta,tigrina,Large-spotted genet,1461.0,,70.0,59.0,2.5,2.0,304.0,71.5,,1820.0,,21.3,671,captivity,small,acceptable,,,4.189,1699.0,310.15,"36,420,455,610,671,978",1.3283796034387378,3.2600713879850747
2266,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Hemigalus,derbyanus,Banded palm civet,,,,71.0,2.0,,,125.0,,2400.0,,16.0,671,captivity,tiny,acceptable,,,,,,"434,455,671,673",1.2041199826559248,3.380211241711606
2267,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paguma,larvata,Masked palm civet,,,,,2.3,2.0,182.0,,,4300.0,,27.4,671,captivity,small,acceptable,,,,,,"434,455,671,978",1.437750562820388,3.6334684555795866
2268,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,hermaphroditus,Asian palm civet,341.0,,60.0,,3.4,2.0,182.0,88.65,,3100.0,0.0087,24.5,671,captivity,tiny,acceptable,,,5.534,3282.6,309.65,"36,420,434,455,610,671,680,731,978",1.3891660843645324,3.4913616938342726
2269,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Prionodon,linsang,Banded linsang,,,,,2.25,,182.0,40.0,,700.0,,,,unknown,small,low,,,,,,"455,671,978",,2.845098040014257
2270,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,civettina,Malabar civet,365.0,213.0,68.0,,,,,,,12061.0,,15.4,671,captivity,tiny,questionable,,,,,,"671,978,1308",1.187520720836463,4.0813833174622856
2271,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,tangalunga,Malayan civet,,,,,2.0,,,,,7350.0,,15.0,671,captivity,small,questionable,,,,,,"455,671,730",1.1760912590556813,3.8662873390841948
2272,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverra,zibetha,Large indian civet,,,80.0,30.0,3.0,2.0,182.0,,,10000.0,,21.7,671,captivity,small,acceptable,,,,,,"434,455,610,671,978",1.3364597338485296,4.0
2273,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Viverricula,indica,Small Indian civet,,,,129.0,3.88,,,,,3000.0,,,,unknown,tiny,low,,,,,,"434,455,671",,3.4771212547196626
2275,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,8212.0,8212.0,396.0,,1.0,0.3,1642.0,900000.0,,100000000.0,,211.0,21,wild,medium,acceptable,,,,,,"21,49,434,447,455,538,610,680,890,978,1136,1309,1310",2.3242824552976926,8.0
2276,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena,australis,Southern right whale,3285.0,,365.0,,1.0,0.3,1214.0,910000.0,,45000000.0,,70.0,434,wild,medium,acceptable,,,,,,"434,447,455,978",1.845098040014257,7.653212513775344
2277,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena,glacialis,North atlantic right whale,2920.0,2920.0,350.0,213.0,1.0,0.29,1445.0,794328.0,,23000000.0,,67.0,642,wild,medium,acceptable,,,,,,"434,443,455,538,642,817",1.8260748027008264,7.361727836017593
2278,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,Common minke whale,2740.0,2740.0,312.0,183.0,1.0,1.0,470.0,320000.0,,7500000.0,,50.0,542,wild,medium,acceptable,,,,,,"434,447,455,538,542,610,680,978",1.6989700043360187,6.8750612633917
2279,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,borealis,Sei whale,3652.0,3652.0,345.0,266.0,1.0,0.5,730.0,680000.0,,20000000.0,,74.0,1,wild,medium,acceptable,,,,,,"1,434,447,455,538,610,680",1.8692317197309762,7.301029995663981
2280,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,edeni,Bryde's whale,3104.0,3104.0,376.0,274.0,1.0,0.5,,1000000.0,,16000000.0,,72.0,1,wild,medium,acceptable,,,,,,"1,434,443,455,610,680",1.8573324964312685,7.204119982655925
2281,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,Blue whale,1827.0,1827.0,350.0,182.0,1.0,0.4,914.0,2000000.0,17000000.0,136000000.0,,110.0,1,wild,medium,acceptable,,,,,,"1,434,441,455,538,610,680",2.041392685158225,8.133538908370218
2282,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,Fin whale,2701.0,2864.0,342.0,183.0,1.0,0.4,608.0,1800000.0,,70000000.0,,114.0,434,wild,medium,acceptable,,,,,,"434,455,538,610,680",2.0569048513364727,7.845098040014257
2283,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,Humpback whale,1643.0,1643.0,342.0,,1.0,0.5,657.0,1350000.0,,30000000.0,,95.0,573,wild,medium,acceptable,,,,,309.15,"434,455,538,573,610,680,1044,1175,1315",1.9777236052888478,7.477121254719663
